param C :	
		1		2		3		4		5		6		7		8		9		10:=
	1	6.84	281.12	141.51	317.79	390.45	231.25	7.73	34.34	32.76	156.86
	2	343.14	168.57	0.99	107.09	87.1	112.49	211	141.58	91.99	257.41
	3	346.04	274.48	196.41	279.88	375.14	114.51	16.41	346.89	472.78	430.69
	4	286.73	484.27	397.35	273.22	385.99	53.26	458.01	472.33	172.28	338.64
	5	244.52	334.76	495.84	395.05	160.09	420.11	166.22	88.61	1.19	257.7
	6	284.39	440.89	281.01	164.32	39.73	225.61	470.88	152.78	368.29	276.47
;
param Cap:=
	1	40
	2	40
	3	60
	4	30
	5	60
	6	60
	7	60
	8	60
	9	40
	10	50
;
param Dem:=
	1	60
	2	80
	3	120
	4	45
	5	120
	6	90
	7	90
	8	120
	9	60
	10	75
;
